행정구역(시)별,토지지목별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
서귀포시,답,토지지목별 현황[㎡],㎡,4345627,4317829,4283111,4232165,4207069,4149752,4028288,3981550
서귀포시,과수원,토지지목별 현황[㎡],㎡,105470142,105549367,105394335,104674396.1,104475030.1,103794140.2,103557200.4,103781692.4
서귀포시,목장용지,토지지목별 현황[㎡],㎡,58380120,57945007,57348815,56161702,55773425,55633520,55300962,55000486
서귀포시,임야,토지지목별 현황[㎡],㎡,433768645,432059819,431509779,430100444.5,429080951.5,428252000.4,426718833.5,425540471.9
서귀포시,광천지,토지지목별 현황[㎡],㎡,0,0,0,-,-,0,-,-
서귀포시,대지,토지지목별 현황[㎡],㎡,23333401.9,23858344,24419251,26088666.6,26929364,28277802.6,30037115.5,30917758.8
서귀포시,공장용지,토지지목별 현황[㎡],㎡,1169267.5,1188218.5,1218336.5,1240036.5,1199409.5,1198187.5,1212767.5,1228684.2
서귀포시,학교용지,토지지목별 현황[㎡],㎡,2178560.5,2178469.5,2168439.5,2713224.6,2709293.6,2706033.6,2934358,2934421.2
서귀포시,주차장,토지지목별 현황[㎡],㎡,129463.5,142525.5,168253,215924.7,232438.5,250601.5,274754.9,302425.2
서귀포시,주유소용지,토지지목별 현황[㎡],㎡,100688.3,101565.3,101001.3,101105.1,108358.1,109102.1,110611,109243
서귀포시,창고용지,토지지목별 현황[㎡],㎡,876199.4,882517.4,995233.4,1055613.4,1103927.4,1150492.9,1196819.6,1254416.5
서귀포시,도로,토지지목별 현황[㎡],㎡,35828266.7,36231533,36609544.3,37363869.9,37724284.1,38018527.7,38694226.4,38890783.5
서귀포시,하천,토지지목별 현황[㎡],㎡,13026326,13134106,13137765,13178131,13172881,13215936,13219890,13282753.9
서귀포시,제방,토지지목별 현황[㎡],㎡,105071,116726,116726,116726,116637,116637,178293.8,178262
서귀포시,구거,토지지목별 현황[㎡],㎡,2177084.1,2210913.1,2210157.1,2230953.1,2264381.1,2384988.6,2384205.2,2431140.6
서귀포시,유지,토지지목별 현황[㎡],㎡,814422.7,812077.7,811215.7,833773.4,842235.4,1158412.4,1199079.9,1205668.9
서귀포시,양어장,토지지목별 현황[㎡],㎡,1402912,1473636,1556578,1642450,1674105,1680733,1706899,1712302
서귀포시,수도용지,토지지목별 현황[㎡],㎡,316231.2,317367.2,316481.2,316499.2,316699.2,316836.8,316821.8,320518.9
서귀포시,공원,토지지목별 현황[㎡],㎡,324415.6,329968.8,331882.4,1056816.5,1217377.7,1483306.7,1931242.3,1932940.3
서귀포시,체육용지,토지지목별 현황[㎡],㎡,13301400,14107680.4,14111295.4,14125972.4,14133533.4,14326952.4,14358000.7,14373311.9
서귀포시,유원지,토지지목별 현황[㎡],㎡,472637,543457,543457,543457,644928.1,649956.1,735133.1,735133.1
서귀포시,종교용지,토지지목별 현황[㎡],㎡,391573.4,403711.4,405987.4,412285.3,451965.3,459246.3,467078,481032
서귀포시,사적지,토지지목별 현황[㎡],㎡,12880,12880,12880,12880,12880,12880,12880,12880
서귀포시,묘지,토지지목별 현황[㎡],㎡,8163288,8149247,8126879,8093533.9,8075515.9,8053428.6,8031905.8,8025484.4
서귀포시,잡종지,토지지목별 현황[㎡],㎡,8579393.2,8720047.2,8940747.2,9039771.5,9404362.7,9640936,10228370.7,10554002.7
