특성별,교통수단별,항목,단위,2017 년,2018 년,2019 년
여자,기타,제주여행 교통수단,%,5.6,3,2.1
15~20세,응답자수,제주여행 교통수단,명,400,127,70
15~20세,렌터카,제주여행 교통수단,%,36.3,45.1,53.5
15~20세,대절택시(가이드동반차량),제주여행 교통수단,%,2.4,,
15~20세,버스,제주여행 교통수단,%,27.6,18.1,6.8
15~20세,택시,제주여행 교통수단,%,18.5,15.4,6.4
15~20세,전세버스(여행사제공),제주여행 교통수단,%,11.2,16.6,28.1
15~20세,시티투어버스,제주여행 교통수단,%,0.1,1,0
15~20세,"자전거, 오토바이",제주여행 교통수단,%,0.4,0,1.6
15~20세,친구 및 지인차량,제주여행 교통수단,%,,0.3,1.8
15~20세,기타,제주여행 교통수단,%,3.6,3.5,1.8
21~30세,응답자수,제주여행 교통수단,명,2101,1412,1376
21~30세,렌터카,제주여행 교통수단,%,67.2,77.9,87.1
21~30세,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
21~30세,버스,제주여행 교통수단,%,14.6,8.9,6.1
21~30세,택시,제주여행 교통수단,%,8.1,6,4
21~30세,전세버스(여행사제공),제주여행 교통수단,%,2.8,1.5,0.3
21~30세,시티투어버스,제주여행 교통수단,%,0.3,0.1,0
21~30세,"자전거, 오토바이",제주여행 교통수단,%,1.6,0.4,0.5
21~30세,친구 및 지인차량,제주여행 교통수단,%,,3,1.3
21~30세,기타,제주여행 교통수단,%,4.7,2.3,0.7
31~40세,응답자수,제주여행 교통수단,명,1525,1518,1503
31~40세,렌터카,제주여행 교통수단,%,73.7,86,89.6
31~40세,대절택시(가이드동반차량),제주여행 교통수단,%,0.4,,
31~40세,버스,제주여행 교통수단,%,7.9,2.9,3.1
31~40세,택시,제주여행 교통수단,%,6.5,2.8,1.3
31~40세,전세버스(여행사제공),제주여행 교통수단,%,3.1,0.5,1.4
31~40세,시티투어버스,제주여행 교통수단,%,0.3,0.6,0.4
31~40세,"자전거, 오토바이",제주여행 교통수단,%,1,0.6,0.5
31~40세,친구 및 지인차량,제주여행 교통수단,%,,2.4,1.5
31~40세,기타,제주여행 교통수단,%,7.1,4.2,2.2
41~50세,응답자수,제주여행 교통수단,명,1084,1250,1352
41~50세,렌터카,제주여행 교통수단,%,64.5,83,89.1
41~50세,대절택시(가이드동반차량),제주여행 교통수단,%,0.3,,
41~50세,버스,제주여행 교통수단,%,6.7,1.5,1.9
41~50세,택시,제주여행 교통수단,%,10.5,3.8,1.3
41~50세,전세버스(여행사제공),제주여행 교통수단,%,6.6,2.5,2.2
41~50세,시티투어버스,제주여행 교통수단,%,0.2,0.6,0.4
41~50세,"자전거, 오토바이",제주여행 교통수단,%,0.6,0.7,0.7
41~50세,친구 및 지인차량,제주여행 교통수단,%,,3.4,1.4
41~50세,기타,제주여행 교통수단,%,10.6,4.5,3
51~60세,응답자수,제주여행 교통수단,명,564,1371,1469
51~60세,렌터카,제주여행 교통수단,%,61.7,79.5,83.4
51~60세,대절택시(가이드동반차량),제주여행 교통수단,%,1.6,,
51~60세,버스,제주여행 교통수단,%,11.9,2.4,1.7
51~60세,택시,제주여행 교통수단,%,7.9,3.3,3
51~60세,전세버스(여행사제공),제주여행 교통수단,%,9,6.3,6
51~60세,시티투어버스,제주여행 교통수단,%,0.6,0.5,0.9
51~60세,"자전거, 오토바이",제주여행 교통수단,%,0.6,0.6,0.5
51~60세,친구 및 지인차량,제주여행 교통수단,%,,3,2
51~60세,기타,제주여행 교통수단,%,6.7,4.4,2.5
61세 이상,응답자수,제주여행 교통수단,명,158,503,364
61세 이상,렌터카,제주여행 교통수단,%,54.7,71,76.5
61세 이상,대절택시(가이드동반차량),제주여행 교통수단,%,1.1,,
61세 이상,버스,제주여행 교통수단,%,11.9,2.7,3.3
61세 이상,택시,제주여행 교통수단,%,10.1,3.4,3
61세 이상,전세버스(여행사제공),제주여행 교통수단,%,9.5,12.2,10.1
61세 이상,시티투어버스,제주여행 교통수단,%,0.7,0.7,0.3
61세 이상,"자전거, 오토바이",제주여행 교통수단,%,0.1,0.5,0.7
61세 이상,친구 및 지인차량,제주여행 교통수단,%,,3.6,3.8
61세 이상,기타,제주여행 교통수단,%,11.8,5.8,2.3
휴가 및 순수여행,응답자수,제주여행 교통수단,명,4807,5571,5845
휴가 및 순수여행,렌터카,제주여행 교통수단,%,71,84.3,88.4
휴가 및 순수여행,대절택시(가이드동반차량),제주여행 교통수단,%,0.8,,
휴가 및 순수여행,버스,제주여행 교통수단,%,11.8,3.7,2.9
휴가 및 순수여행,택시,제주여행 교통수단,%,7,3,1.9
휴가 및 순수여행,전세버스(여행사제공),제주여행 교통수단,%,3.1,3.2,2.7
