,pt_month,biz_nm,base_year_month,age,user_cnt,use_cnt,use_amt,pt_year
179,5,내항 여객 운송업,61147015,12150.0,36132,37495,1215537104,611455
180,5,마사지업,38141345,6970.0,477,522,66316000,381404
181,5,면세점,112000075,20240.0,314319,481590,35817119405,1119973
182,5,버스 운송업,403510,0.0,7,9,5750000,4035
183,5,비알콜 음료점업,1186433195,222120.0,393980,428891,4435351115,11864038
184,5,빵 및 과자류 소매업,1197318765,231390.0,397845,426321,6228380540,11972891
185,5,서양식 음식점업,1445171205,271810.0,482198,525156,12426300023,14451354
186,5,수산물 소매업,853443845,170630.0,85844,95315,7795824846,8534227
187,5,슈퍼마켓,1555520140,296850.0,1511882,1794638,49127984983,15554816
188,5,스포츠 및 레크레이션 용품 임대업,858679875,166370.0,125575,137783,14435149965,8586586
189,5,여관업,737601375,138770.0,127450,143821,15544536208,7375831
190,5,여행사업,167293945,30650.0,10932,11481,2113368012,1672898
191,5,욕탕업,524308290,105240.0,33230,35976,806484874,5242953
192,5,육류 소매업,810853390,163100.0,80615,86532,6658687226,8108333
193,5,일반유흥 주점업,411884205,80930.0,52713,58006,12536677739,4118740
194,5,일식 음식점업,1051013940,208370.0,161379,165175,12439831416,10509879
195,5,자동차 임대업,236313755,44820.0,62500,63251,5331346644,2363079
196,5,전시 및 행사 대행업,541249910,100260.0,147266,170891,7848209945,5412365
197,5,정기 항공 운송업,31077970,5870.0,98547,98697,15827382231,310772
198,5,중식 음식점업,1091378140,213810.0,148577,155012,4657830142,10913511
199,5,차량용 가스 충전업,549726120,113370.0,44549,46373,2852676990,5497125
200,5,차량용 주유소 운영업,1296795830,263090.0,823560,865279,47341233741,12967637
201,5,체인화 편의점,1860464295,345000.0,2852904,3268782,26267332584,18604182
202,5,택시 운송업,201905,0.0,1,1,150000,2019
203,5,"피자, 햄버거, 샌드위치 및 유사 음식점업",976342590,182200.0,354657,382127,5089157270,9763184
204,5,한식 음식점업,1930478430,359870.0,2631803,2801029,121841585527,19304306
205,5,호텔업,230260805,44650.0,50564,57903,18367503304,2302551
206,5,화장품 및 방향제 소매업,591486355,112390.0,70658,77374,3506331682,5914717
207,5,휴양콘도 운영업,247017820,47720.0,52525,62224,6892049715,2470117
208,6,건강보조식품 소매업,248223380,50360.0,5741,6050,2045155635,2482160
209,6,골프장 운영업,219362322,45550.0,98907,105960,17481963516,2193558
210,6,과실 및 채소 소매업,1160388500,231200.0,125276,137332,9773970237,11603540
211,6,관광 민예품 및 선물용품 소매업,618746896,114750.0,76336,83307,3088008161,6187285
212,6,그외 기타 분류안된 오락관련 서비스업,20788018,3330.0,304,315,17863750,207874
213,6,그외 기타 스포츠시설 운영업,99693964,19470.0,3211,3741,270231700,996910
214,6,그외 기타 종합 소매업,221586088,41610.0,138176,167674,10892317370,2215795
215,6,기타 갬블링 및 베팅업,1008830,0.0,68,93,446690000,10088
216,6,기타 대형 종합 소매업,201000476,37080.0,369034,428855,21563528274,2009945
217,6,기타 수상오락 서비스업,24621832,3810.0,240,248,40682500,246211
218,6,기타 외국식 음식점업,769701884,152280.0,66911,69934,2498256975,7696790
219,6,기타 주점업,421371828,85270.0,26331,28394,5419697355,4213593
220,6,기타음식료품위주종합소매업,635085682,130480.0,312214,359790,13985493557,6350668
221,6,내항 여객 운송업,58928052,11700.0,35886,37193,1149079450,589263
222,6,마사지업,37132504,6540.0,443,460,56164122,371314
